!SIL 1.0	sil
<UNK> 1.0	spn
ciemnościach	1.0	tsj e m n o sj tsj a h
spojrzeć	1.0	s p o j Z e tsj
bazyliszka	1.0	b a z i2 l j S k a
dpi	1.0	d p i
uprawiają	1.0	u p r a v i a j oc5
księgi	1.0	k sj eo5 g i
in	1.0	i n
którym	1.0	k t u r i2 m
wrogów	1.0	v r o g u v
sam	1.0	s a m
dziesiątego	1.0	dzj e tsj oc5 t e g o
niemce	1.0	n i e m c e
udzielają	1.0	u dzj e l a j oc5
głowę	1.0	g w o v e
sy	1.0	s i2
pozbawić	1.0	p o z b a v i tsj
woda	1.0	v o d a
dzisiejszych	1.0	dzj i sj e j S i2 h
zaopatrując	1.0	z a o p a t r u j oc5 c
przyjemności-	1.0	p S i2 j e m n o sj tsj e
kormorany	1.0	k o r m o r a n i2
kontakty	1.0	k o n t a k t i2
ono	1.0	o n o
cara	1.0	c a r a
pooperacyjnej	1.0	p o o p e r a c i2 j n e j
przekonywał	1.0	p S e k o n i2 v a w
zwalczanego	1.0	z v a l tS a n e g o
uniwersalnym	1.0	u n i v e r s a l n i2 m
brak	1.0	b r a k
starają	1.0	s t a r a j oc5
nieboską	1.0	n i e b o s k oc5
cóż	1.0	c u S
chromosomalnie	1.0	h r o m o s o m a l n i e
prawego	1.0	p r a v e g o
józefa	1.0	j u z e f a
pojednanego	1.0	p o j e d n a n e g o
swoimi	1.0	s v o i m i
okna	1.0	o k n a
zajmuje	1.0	z a j m u j e
ze	1.0	z e
wówczas	1.0	v u v tS a s
podbija	1.0	p o d b i j a
wypływały"-	1.0	v i2 p w i2 v a w i2
pożyczyłem	1.0	p o Z i2 tS i2 w e m
animacji	1.0	a n i m a c j i
wypadłaś	1.0	v i2 p a d w a sj
kilkoma	1.0	k i l k o m a
szybowców	1.0	S i2 b o v c u v
duchową	1.0	d u h o v oc5
nieprzyjaciół	1.0	n i e p S i2 j a tsj u w
została	1.0	z o s t a w a
psalm	1.0	p s a l m
wyrwał	1.0	v i2 r v a w
źródłem	1.0	zj r u d w e m
mieczach	1.0	m i e tS a h
niebiańska	1.0	n i e b i a n~ s k a
zamykał	1.0	z a m i2 k a w
można	1.0	m o Z n a
utwór	1.0	u t f u r
wspólnym	1.0	v s p u l n i2 m
aniołowie	1.0	a n i o w o v i e
absurdalna	1.0	a b s u r d a l n a
spacerów	1.0	s p a c e r u v
katarzyna	1.0	k a t a Z i2 n a
franco	1.0	f r a n c o
poznanego	1.0	p o z n a n e g o
świata	1.0	sj v i a t a
lancer	1.0	l a n c e r
stań	1.0	s t a n~
modlitwą	1.0	m o d l j t f oc5
pierś	1.0	p i e r sj
reprezentowała	1.0	r e p r e z e n t o v a w a
apostolskiego	1.0	a p o s t o l s k i e g o
rybka:-	1.0	r i2 b k a e
dostojewskiego	1.0	d o s t o j e v s k i e g o
wcześniej	1.0	v tS e sj n i e j
szczera	1.0	S tS e r a
seksualnie	1.0	s e k s u a l n i e
upiłem	1.0	u p i w e m
bogarodzicy	1.0	b o g a r o dzj i c i2
k	1.0	k
ponoć	1.0	p o n o tsj
niż	1.0	n i S
przyrządzić	1.0	p S i2 Z oc5 dzj i tsj
niepotrzebnych	1.0	n i e p o t S e b n i2 h
rodu	1.0	r o d u
słynne	1.0	s w i2 n n e
wydarzeniem	1.0	v i2 d a Z e n i e m
źrenicę	1.0	zj r e n i c e
arcydziełami	1.0	a r c i2 dzj e w a m i
troszkę	1.0	t r o S k e
bawi	1.0	b a v i
zuchwała	1.0	z u h v a w a
ty	1.0	t i2
ministerstwa	1.0	m i n i s t e r s t f a
wcześniejszego	1.0	v tS e sj n i e j S e g o
dałeś	1.0	d a w e sj
dniach	1.0	d n i a h
jałowca	1.0	j a w o v c a
nauczysz	1.0	n a u tS i2 S
grzmoty	1.0	g Z m o t i2
końcowym	1.0	k o n~ c o v i2 m
lauder	1.0	l a u d e r
16	1.0	s t tsj e
wyłania	1.0	v i2 w a n i a
pora	1.0	p o r a
bezstronni	1.0	b e z s t r o n n i
sklepieniem	1.0	s k l e p i e n i e m
straszliwszy	1.0	s t r a S l j v S i2
laty	1.0	l a t i2
nikt	1.0	n i k t
wszechmogącym	1.0	v S e h m o g oc5 c i2 m
woli	1.0	v o l j
pewnie	1.0	p e v n i e
zainteresował	1.0	z a i n t e r e s o v a w
zmarł	1.0	z m a r w
przyjął	1.0	p S i2 j oc5 w
odbierana	1.0	o d b i e r a n a
głośników-satelitów	1.0	g w o sj n i k u v s a t e l j t u v
moralności	1.0	m o r a l n o sj tsj i
prorodzinne	1.0	p r o r o dzj i n n e
niemieckie	1.0	n i e m i e c k i e
drabinkę	1.0	d r a b i n k e
staje	1.0	s t a j e
współczesnym	1.0	v s p u w tS e s n i2 m
doprowadzających	1.0	d o p r o v a dz a j oc5 c i2 h
ażeby	1.0	a Z e b i2
horrory	1.0	h o r r o r i2
coelho	1.0	c o e l h o
zachowanie	1.0	z a h o v a n i e
mógł	1.0	m u g w
jakichś	1.0	j a k i h sj
wyleczy	1.0	v i2 l e tS i2
masywnych	1.0	m a s i2 v n i2 h
dunin	1.0	d u n i n
przed	1.0	p S e d
informację	1.0	i n f o r m a c j e
rozbudował	1.0	r o z b u d o v a w
paskudna	1.0	p a s k u d n a
przestajemy	1.0	p S e s t a j e m i2
najlepszym	1.0	n a j l e p S i2 m
próbowałeś	1.0	p r u b o v a w e sj
on-the-loose	1.0	o n t h e l o o s e
nury	1.0	n u r i2
tradycyjnie-	1.0	t r a d i2 c i2 j n i e e
pracowity	1.0	p r a c o v i t i2
twórca	1.0	t f u r c a
villa	1.0	f i l l a
powojennej	1.0	p o v o j e n n e j
mignęło	1.0	m i g n eo5 w o
cząstki	1.0	tS oc5 s t k i
mogła	1.0	m o g w a
zaczynają	1.0	z a tS i2 n a j oc5
odmienne	1.0	o d m i e n n e
krwawej	1.0	k r v a v e j
warszawski	1.0	v a r S a v s k i
prawa	1.0	p r a v a
naszego	1.0	n a S e g o
światowej	1.0	sj v i a t o v e j
sobą-	1.0	s o b oc5 e
światem	1.0	sj v i a t e m
stratofortress	1.0	s t r a t o f o r t r e S
wyraźniej	1.0	v i2 r a zj n i e j
milion	1.0	m i l j o n
dodania	1.0	d o d a n i a
artystą	1.0	a r t i2 s t oc5
shimmering	1.0	s h j m m e r j n g
my	1.0	m i2
tworem	1.0	t f o r e m
udowodnił	1.0	u d o v o d n i w
przemkną	1.0	p S e m k n oc5
trudne	1.0	t r u d n e
modlimy	1.0	m o d l j m i2
wytrzeźwieję	1.0	v i2 t S e zj v i e j e
wychodzi	1.0	v i2 h o dzj i
nawyków	1.0	n a v i2 k u v
wiekach	1.0	v i e k a h
bruno	1.0	b r u n o
zawiedzionej	1.0	z a v i e dzj o n e j
prawicy	1.0	p r a v i c i2
produkujących	1.0	p r o d u k u j oc5 c i2 h
napisać	1.0	n a p i s a tsj
łupy	1.0	w u p i2
niemożliwą	1.0	n i e m o Z l j v oc5
potrzeby	1.0	p o t S e b i2
głównej	1.0	g w u v n e j
wersje	1.0	v e r s j e
łupem	1.0	w u p e m
sebastian	1.0	s e b a s t j a n
głęboko	1.0	g w eo5 b o k o
wołanie	1.0	v o w a n i e
świętości	1.0	sj v i eo5 t o sj tsj i
wojciecha	1.0	v o j tsj e h a
szkołą	1.0	S k o w oc5
ksiąg	1.0	k tsj oc5 g
podróży	1.0	p o d r u Z i2
badacz	1.0	b a d a tS
powierzchowność	1.0	p o v i e Z h o v n o sj tsj
torturować	1.0	t o r t u r o v a tsj
uobecnia	1.0	u o b e c n i a
zmarłych	1.0	z m a r w i2 h
żyją	1.0	Z i2 j oc5
uderzał	1.0	u d e Z a w
niewyobrażalne	1.0	n i e v i2 o b r a Z a l n e
podejrzewać	1.0	p o d e j Z e v a tsj
dynamikę	1.0	d i2 n a m i k e
zabójczą	1.0	z a b u j tS oc5
ponad	1.0	p o n a d
jakoś	1.0	j a k o sj
przepadłego	1.0	p S e p a d w e g o
opłaca	1.0	o p w a c a
leszczyny	1.0	l e S tS i2 n i2
cel	1.0	c e l
wobec	1.0	v o b e c
schachingera	1.0	s h a h j n g e r a
układałem	1.0	u k w a d a w e m
dawna	1.0	d a v n a
wstydzi	1.0	v s t i2 dzj i
stalina	1.0	s t a l j n a
machiavelli	1.0	m a h j a f e l l j
zniszczył	1.0	z n i S tS i2 w
koniec-	1.0	k o n i e c e
odsuwają	1.0	o d s u v a j oc5
stoi	1.0	s t o i
zbudujemy	1.0	z b u d u j e m i2
bólem	1.0	b u l e m
chwyć	1.0	h v i2 tsj
obszar	1.0	o b S a r
stronie	1.0	s t r o n i e
nich	1.0	n i h
zabezpieczyć	1.0	z a b e z p i e tS i2 tsj
ogłoszeń	1.0	o g w o S e n~
zalaniem	1.0	z a l a n i e m
królestwo	1.0	k r u l e s t f o
młodocianej	1.0	m w o d o tsj a n e j
błąd	1.0	b w oc5 d
powiedział	1.0	p o v i e dzj a w
kontrolę	1.0	k o n t r o l e
tomasz	1.0	t o m a S
bogu	1.0	b o g u
wskazówka	1.0	v s k a z u v k a
ujęcia	1.0	u j eo5 tsj a
fosy	1.0	f o s i2
mocą	1.0	m o c oc5
wierzą	1.0	v i e Z oc5
predefiniowanych	1.0	p r e d e f i n i o v a n i2 h
obnażony	1.0	o b n a Z o n i2
jaką	1.0	j a k oc5
kontroli	1.0	k o n t r o l j
kubuś	1.0	k u b u sj
norek	1.0	n o r e k
otwarta	1.0	o t f a r t a
negatywne	1.0	n e g a t i2 v n e
m	1.0	m
szlachtę	1.0	S l a h t e
włochatą	1.0	v w o h a t oc5
do	1.0	d o
znajdziesz	1.0	z n a j dzj e S
tys	1.0	t i2 s
złotego	1.0	z w o t e g o
programie	1.0	p r o g r a m i e
wpływa	1.0	v p w i2 v a
mogę	1.0	m o g e
pyłku	1.0	p i2 w k u
rogu	1.0	r o g u
przetoczyć	1.0	p S e t o tS i2 tsj
gospodynią	1.0	g o s p o d i2 n i oc5
powstaje	1.0	p o v s t a j e
turyngii	1.0	t u r i2 n g i i
przepowiadać	1.0	p S e p o v i a d a tsj
chelsea	1.0	h e l s e a
błędnik	1.0	b w eo5 d n i k
prezydentem	1.0	p r e z i2 d e n t e m
nieobecność	1.0	n i e o b e c n o sj tsj
pielęgnacji	1.0	p i e l eo5 g n a c j i
wersja	1.0	v e r s j a
naprawdę	1.0	n a p r a v d e
przyjaciół	1.0	p S i2 j a tsj u w
powinniśmy	1.0	p o v i n n i sj m i2
wykształcenie	1.0	v i2 k S t a w c e n i e
falować	1.0	f a l o v a tsj
żywi	1.0	Z i2 v i
goethe	1.0	g o e t h e
ciemnoczerwonym	1.0	tsj e m n o tS e r v o n i2 m
sytuacje	1.0	s i2 t u a c j e
martwe	1.0	m a r t f e
osobą	1.0	o s o b oc5
jest	1.0	j e s t
miała	1.0	m i a w a
przyszłości	1.0	p S i2 S w o sj tsj i
zechcę	1.0	z e h c e
swoją	1.0	s v o j oc5
piekło	1.0	p i e k w o
pokorny	1.0	p o k o r n i2
typowo	1.0	t i2 p o v o
rainer	1.0	r a i n e r
silniejszy	1.0	sj i l n i e j S i2
przykrości	1.0	p S i2 k r o sj tsj i
tekst	1.0	t e k s t
cichy	1.0	tsj i h i2
waszego	1.0	v a S e g o
zdjęcie	1.0	z d j eo5 tsj e
władzy	1.0	v w a dz i2
okazali	1.0	o k a z a l j
przekonaj	1.0	p S e k o n a j
biorę	1.0	b i o r e
diamentów	1.0	d j a m e n t u v
sytuacjach	1.0	s i2 t u a c j a h
hormony	1.0	h o r m o n i2
swój	1.0	s v u j
moment	1.0	m o m e n t
nicość	1.0	n i c o sj tsj
operacja	1.0	o p e r a c j a
is	1.0	i s
cierpi	1.0	tsj e r p i
namagnesowana	1.0	n a m a g n e s o v a n a
martwej	1.0	m a r t f e j
swego	1.0	s v e g o
artysty	1.0	a r t i2 s t i2
zanurzonych	1.0	z a n u Z o n i2 h
urody	1.0	u r o d i2
usytuowany	1.0	u s i2 t u o v a n i2
tożsamości	1.0	t o Z s a m o sj tsj i
cosmodziewczyny	1.0	c o s m o dzj e v tS i2 n i2
zamachowi	1.0	z a m a h o v i
rilke	1.0	r j l k e
panelu	1.0	p a n e l u
niesłychanie	1.0	n i e s w i2 h a n i e
zbrodniczą	1.0	z b r o d n i tS oc5
stuprocentowa	1.0	s t u p r o c e n t o v a
zakręcił	1.0	z a k r eo5 tsj i w
użyteczność	1.0	u Z i2 t e tS n o sj tsj
aktorstwo	1.0	a k t o r s t f o
dwieście	1.0	d v i e sj tsj e
raczej	1.0	r a tS e j
klamry	1.0	k l a m r i2
captif	1.0	c a p t j f
ogarnąć	1.0	o g a r n oc5 tsj
ogranicza	1.0	o g r a n i tS a
brzmiały	1.0	b Z m i a w i2
względem	1.0	v z g l eo5 d e m
ochroniarze	1.0	o h r o n i a Z e
panie	1.0	p a n i e
zresztą	1.0	z r e S t oc5
milne'a	1.0	m i l n e a
teatr	1.0	t e a t r
zobaczę	1.0	z o b a tS e
znaleźć	1.0	z n a l e zj tsj
organy	1.0	o r g a n i2
enhanced	1.0	e n h a n c e d
genialną	1.0	g e n i a l n oc5
wzroku	1.0	v z r o k u
szalała	1.0	S a l a w a
emocji	1.0	e m o c j i
wyłaniają	1.0	v i2 w a n i a j oc5
stadionie	1.0	s t a d j o n i e
innym	1.0	i n n i2 m
naukom	1.0	n a u k o m
kogo	1.0	k o g o
kilkadziesiąt	1.0	k i l k a dzj e tsj oc5 t
zaradzić	1.0	z a r a dzj i tsj
pomieszczeń	1.0	p o m i e S tS e n~
przejrzał	1.0	p S e j Z a w
spokojnie	1.0	s p o k o j n i e
sygnałów	1.0	s i2 g n a w u v
kochając	1.0	k o h a j oc5 c
chętnie	1.0	h eo5 t n i e
ucisku	1.0	u tsj i s k u
rozpływa	1.0	r o z p w i2 v a
skruszony	1.0	s k r u S o n i2
kąpielowych	1.0	k oc5 p i e l o v i2 h
moje	1.0	m o j e
komedia	1.0	k o m e d j a
wiatr	1.0	v i a t r
samotna	1.0	s a m o t n a
obawom	1.0	o b a v o m
pożerał	1.0	p o Z e r a w
krescencjusz	1.0	k r e s c e n c j u S
zdania	1.0	z d a n i a
tyrolu	1.0	t i2 r o l u
konkretnym	1.0	k o n k r e t n i2 m
stare	1.0	s t a r e
pełnego	1.0	p e w n e g o
grodom	1.0	g r o d o m
sprytna	1.0	s p r i2 t n a
iwan	1.0	i v a n
pochłaniających	1.0	p o h w a n i a j oc5 c i2 h
dorobku	1.0	d o r o b k u
komornicy	1.0	k o m o r n i c i2
latach	1.0	l a t a h
przychodniom	1.0	p S i2 h o d n i o m
bryłami	1.0	b r i2 w a m i
drożynami	1.0	d r o Z i2 n a m i
trąbka-	1.0	t r oc5 b k a e
prostoty	1.0	p r o s t o t i2
popołudnia	1.0	p o p o w u d n i a
słowiańskiego	1.0	s w o v i a n~ s k i e g o
skinął	1.0	s k i n oc5 w
krwawą	1.0	k r v a v oc5
istnieć	1.0	i s t n i e tsj
istnieje	1.0	i s t n i e j e
romansu	1.0	r o m a n s u
hitlera-	1.0	h j t l e r a e
dolarów	1.0	d o l a r u v
płakał-	1.0	p w a k a w e
pachnącej	1.0	p a h n oc5 c e j
niewyrażalnego	1.0	n i e v i2 r a Z a l n e g o
arabski	1.0	a r a b s k i
morską	1.0	m o r s k oc5
sznureczkami	1.0	S n u r e tS k a m i
koziołków	1.0	k o zj o w k u v
ludzkość	1.0	l u dz k o sj tsj
rozpoczął	1.0	r o z p o tS oc5 w
von	1.0	f o n
odnośnikiem	1.0	o d n o sj n i k i e m
przetrwać	1.0	p S e t r v a tsj
odwołaniami	1.0	o d v o w a n i a m i
ogromne	1.0	o g r o m n e
rozmawiałeś	1.0	r o z m a v i a w e sj
zwalany	1.0	z v a l a n i2
molestowani	1.0	m o l e s t o v a n i
politycznych	1.0	p o l j t i2 tS n i2 h
faktem	1.0	f a k t e m
przeżywać	1.0	p S e Z i2 v a tsj
potrawach	1.0	p o t r a v a h
popijają	1.0	p o p i j a j oc5
tour	1.0	t o u r
dubbingiem	1.0	d u b b i n g i e m
pomyślałam	1.0	p o m i2 sj l a w a m
krzyżakom	1.0	k S i2 Z a k o m
opcja	1.0	o p c j a
umysłu	1.0	u m i2 s w u
choroby	1.0	h o r o b i2
moim	1.0	m o i m
ona	1.0	o n a
wszystkimi	1.0	v S i2 s t k i m i
głogowa	1.0	g w o g o v a
przyrostowe	1.0	p S i2 r o s t o v e
postradał	1.0	p o s t r a d a w
bezpośrednio	1.0	b e z p o sj r e d n i o
czujesz	1.0	tS u j e S
postępuje	1.0	p o s t eo5 p u j e
prawdzie	1.0	p r a v dzj e
grzegorz	1.0	g Z e g o S
nazywa	1.0	n a z i2 v a
przekazywał	1.0	p S e k a z i2 v a w
entuzjastów	1.0	e n t u z j a s t u v
którą	1.0	k t u r oc5
nazwał	1.0	n a z v a w
żona	1.0	Z o n a
masowo	1.0	m a s o v o
scena	1.0	s c e n a
musi	1.0	m u sj i
najśw	1.0	n a j sj v
kończyć	1.0	k o n~ tS i2 tsj
przerwę	1.0	p S e r v e
strzemiona	1.0	s t S e m i o n a
liczy	1.0	l j tS i2
javascript	1.0	j a f a s c r j p t
ciekawszy	1.0	tsj e k a v S i2
resztę	1.0	r e S t e
obliczem	1.0	o b l j tS e m
części	1.0	tS eo5 sj tsj i
uznanie	1.0	u z n a n i e
ścianach	1.0	sj tsj a n a h
magda	1.0	m a g d a
pogłowia	1.0	p o g w o v i a
bogato	1.0	b o g a t o
przekonają	1.0	p S e k o n a j oc5
niechlubnie	1.0	n i e h l u b n i e
musiały	1.0	m u tsj a w i2
opiekę	1.0	o p i e k e
mitu	1.0	m i t u
znalezienia	1.0	z n a l e zj e n i a
zapewniają	1.0	z a p e v n i a j oc5
telekomunikacji	1.0	t e l e k o m u n i k a c j i
przeszkadzał	1.0	p S e S k a dz a w
starego	1.0	s t a r e g o
niżej	1.0	n i Z e j
wpuszczali	1.0	v p u S tS a l j
studium	1.0	s t u d j u m
zbliżamy	1.0	z b l j Z a m i2
osama	1.0	o s a m a
co	1.0	c o
diamonds	1.0	d j a m o n d s
standardowo	1.0	s t a n d a r d o v o
szeleśći	1.0	S e l e sj tsj i
ojczyźnie	1.0	o j tS i2 zj n i e
owym	1.0	o v i2 m
jakby	1.0	j a k b i2
jakość	1.0	j a k o sj tsj
papieski	1.0	p a p i e s k i
zabłąkanych	1.0	z a b w oc5 k a n i2 h
śmiech	1.0	sj m i e h
biurowym	1.0	b i u r o v i2 m
swe	1.0	s v e
granice	1.0	g r a n i c e
łkającego	1.0	w k a j oc5 c e g o
opuszczając	1.0	o p u S tS a j oc5 c
obojętnością	1.0	o b o j eo5 t n o sj tsj oc5
godności	1.0	g o d n o sj tsj i
twego	1.0	t f e g o
miesiącami	1.0	m i e tsj oc5 c a m i
pisali	1.0	p i s a l j
pojawiła	1.0	p o j a v i w a
moi	1.0	m o i
gwardzistami	1.0	g v a r dzj i s t a m i
oczami	1.0	o tS a m i
dorosłego	1.0	d o r o s w e g o
nazwij	1.0	n a z v i j
poznał	1.0	p o z n a w
skaczących	1.0	s k a tS oc5 c i2 h
znacie	1.0	z n a tsj e
pomorski	1.0	p o m o r s k i
honorowej	1.0	h o n o r o v e j
zagrali	1.0	z a g r a l j
fucking	1.0	f u c k i n g
ostateczna	1.0	o s t a t e tS n a
myślom	1.0	m i2 sj l o m
religijnej	1.0	r e l j g i j n e j
sława	1.0	s w a v a
repertuaru	1.0	r e p e r t u a r u
takich	1.0	t a k i h
nakapał	1.0	n a k a p a w
wszelkich	1.0	v S e l k i h
strachu	1.0	s t r a h u
gwiazdy	1.0	g v i a z d i2
któryś	1.0	k t u r i2 sj
fantazją	1.0	f a n t a z j oc5
wyłoni	1.0	v i2 w o n i
dostarczał	1.0	d o s t a r tS a w
wytwornego	1.0	v i2 t f o r n e g o
4	1.0	tS t
23	1.0	d S i2
płacisz	1.0	p w a tsj i S
makijażystka	1.0	m a k i j a Z i2 s t k a
19	1.0	s t eo5 tsj
ciasta	1.0	tsj a s t a
zagradzały	1.0	z a g r a dz a w i2
wyjeżdża	1.0	v i2 j e Z dZ a
środkami	1.0	sj r o t k a m i
straconego	1.0	s t r a c o n e g o
obrotów	1.0	o b r o t u v
wpływu	1.0	v p w i2 v u
naukowcy	1.0	n a u k o v c i2
używają	1.0	u Z i2 v a j oc5
pierwsze	1.0	p i e r v S e
żadnym	1.0	Z a d n i2 m
znowu	1.0	z n o v u
akcji	1.0	a k c j i
zyskują	1.0	z i2 s k u j oc5
wynalazek	1.0	v i2 n a l a z e k
jerozolimie-	1.0	j e r o z o l j m i e e
ociężale	1.0	o tsj eo5 Z a l e
powoływać	1.0	p o v o w i2 v a tsj
zegarek	1.0	z e g a r e k
para	1.0	p a r a
porównuję	1.0	p o r u v n u j e
nieustanną	1.0	n i e u s t a n n oc5
zaczęło	1.0	z a tS eo5 w o
duchowe	1.0	d u h o v e
fausta	1.0	f a u s t a
święte	1.0	sj v i eo5 t e
myślnika	1.0	m i2 sj l n i k a
pozornie	1.0	p o z o r n i e
brzydka	1.0	b Z i2 t k a
trzymaj	1.0	t S i2 m a j
obietnice	1.0	o b i e t n i c e
kupię	1.0	k u p i e
tenisiści	1.0	t e n i s i sj tsj i
niewykluczone-	1.0	n i e v i2 k l u tS o n e e
chciało	1.0	h tsj a w o
słuch	1.0	s w u h
telefon	1.0	t e l e f o n
wodorostów	1.0	v o d o r o s t u v
wojskami	1.0	v o j s k a m i
skłonności	1.0	s k w o n n o sj tsj i
teatru	1.0	t e a t r u
skomplikowanej	1.0	s k o m p l j k o v a n e j
ukończony	1.0	u k o n~ tS o n i2
utożsamiają	1.0	u t o Z s a m i a j oc5
wygasła-	1.0	v i2 g a s w a e
afryce	1.0	a f r i2 c e
odwiedził	1.0	o d v i e dzj i w
garść	1.0	g a r sj tsj
odchodzić	1.0	o d h o dzj i tsj
pokazuje	1.0	p o k a z u j e
pustce	1.0	p u s t c e
synów	1.0	s i2 n u v
zastąpił	1.0	z a s t oc5 p i w
gwarantuje	1.0	g v a r a n t u j e
związane	1.0	z v i oc5 z a n e
wstrząsnęło	1.0	v s t S oc5 s n eo5 w o
niszczą	1.0	n i S tS oc5
obiekty	1.0	o b i e k t i2
piaski	1.0	p i a s k i
pigułkę	1.0	p i g u w k e
szczegół	1.0	S tS e g u w
powieść	1.0	p o v i e sj tsj
potęgę	1.0	p o t eo5 g e
ludzi	1.0	l u dzj i
szczęśliwej	1.0	S tS eo5 sj l j v e j
perspektywom	1.0	p e r s p e k t i2 v o m
sypiasz	1.0	s i2 p i a S
prawe	1.0	p r a v e
królestwa	1.0	k r u l e s t f a
chytre	1.0	h i2 t r e
pośród	1.0	p o sj r u d
idą	1.0	i d oc5
prusy	1.0	p r u s i2
wyznawca	1.0	v i2 z n a v c a
zapłacze	1.0	z a p w a tS e
tydzień-	1.0	t i2 dzj e n~ e
ekstrawagancji	1.0	e k s t r a v a g a n c j i
przyjrzyj	1.0	p S i2 j Z i2 j
jakichkolwiek	1.0	j a k i h k o l v i e k
narzędzie	1.0	n a Z eo5 dzj e
ciasto	1.0	tsj a s t o
komputer	1.0	k o m p u t e r
kochają	1.0	k o h a j oc5
olimpiady	1.0	o l j m p i a d i2
pozostają	1.0	p o z o s t a j oc5
poznanie	1.0	p o z n a n i e
motoryzacja	1.0	m o t o r i2 z a c j a
kolorowego	1.0	k o l o r o v e g o
zaprezentowałam	1.0	z a p r e z e n t o v a w a m
wędrówki	1.0	v eo5 d r u v k i
roztacza	1.0	r o z t a tS a
uznać	1.0	u z n a tsj
facetów	1.0	f a c e t u v
oprócz	1.0	o p r u tS
roślin	1.0	r o sj l j n
loren	1.0	l o r e n
romansować	1.0	r o m a n s o v a tsj
warunkiem	1.0	v a r u n k i e m
pokuty	1.0	p o k u t i2
milimetr	1.0	m i l j m e t r
młody	1.0	m w o d i2
phillippe	1.0	p h j l l j p p e
mieszkaniu	1.0	m i e S k a n i u
wydaniem	1.0	v i2 d a n i e m
pokaże	1.0	p o k a Z e
żadne	1.0	Z a d n e
bym	1.0	b i2 m
diabeł	1.0	d j a b e w
rozdzierającego	1.0	r o z dzj e r a j oc5 c e g o
traktowane	1.0	t r a k t o v a n e
mocarstwo	1.0	m o c a r s t f o
zaabsorbowanej	1.0	z a a b s o r b o v a n e j
wrzuceniem	1.0	v Z u c e n i e m
komputerach	1.0	k o m p u t e r a h
wcześniejsze	1.0	v tS e sj n i e j S e
inaczej	1.0	i n a tS e j
podającą	1.0	p o d a j oc5 c oc5
sto	1.0	s t o
watteau	1.0	v a t t e a u
brzuch	1.0	b Z u h
proszę	1.0	p r o S e
związków	1.0	z v i oc5 z k u v
murów	1.0	m u r u v
mną	1.0	m n oc5
image	1.0	i m a g e
sofoklesa	1.0	s o f o k l e s a
tu	1.0	t u
wizerunek	1.0	v i z e r u n e k
głębokości	1.0	g w eo5 b o k o sj tsj i
wielka-	1.0	v i e l k a e
zmęczony	1.0	z m eo5 tS o n i2
zdanie	1.0	z d a n i e
chrapiesz	1.0	h r a p i e S
ludzka	1.0	l u dz k a
strzaskali	1.0	s t S a s k a l j
żegnają	1.0	Z e g n a j oc5
graficzne	1.0	g r a f i tS n e
posłuszny	1.0	p o s w u S n i2
chłop	1.0	h w o p
właściwości	1.0	v w a sj tsj i v o sj tsj i
sen	1.0	s e n
zerwania	1.0	z e r v a n i a
plotzke	1.0	p l o t z k e
oto	1.0	o t o
ostatnia	1.0	o s t a t n i a
uda	1.0	u d a
umiał	1.0	u m i a w
pannie	1.0	p a n n i e
stosowane	1.0	s t o s o v a n e
skraju	1.0	s k r a j u
makijaż	1.0	m a k i j a S
przewodnik	1.0	p S e v o d n i k
olejków	1.0	o l e j k u v
wyjściowego	1.0	v i2 j sj tsj o v e g o
litych	1.0	l j t i2 h
podjęły	1.0	p o d j eo5 w i2
młodsze	1.0	m w o d S e
dopiero	1.0	d o p i e r o
podejrzałem	1.0	p o d e j Z a w e m
przeszkadza	1.0	p S e S k a dz a
klątwę	1.0	k l oc5 t f e
ognista	1.0	o g n i s t a
załatwiłem	1.0	z a w a t f i w e m
tradycja	1.0	t r a d i2 c j a
kocha	1.0	k o h a
znakami	1.0	z n a k a m i
doskonałego	1.0	d o s k o n a w e g o
niezliczone	1.0	n i e z l j tS o n e
ogłosił	1.0	o g w o sj i w
tanga	1.0	t a n g a
zarazem	1.0	z a r a z e m
382	1.0	S i2 o sj d
ogólny	1.0	o g u l n i2
widzisz	1.0	v i dzj i S
ciemności	1.0	tsj e m n o sj tsj i
artystycznych	1.0	a r t i2 s t i2 tS n i2 h
wyglądacie	1.0	v i2 g l oc5 d a tsj e
chwilę	1.0	h v i l e
odpowiedzi	1.0	o d p o v i e dzj i
szczególne	1.0	S tS e g u l n e
lewą	1.0	l e v oc5
zimno	1.0	zj i m n o
zdaniem	1.0	z d a n i e m
zasypiam	1.0	z a s i2 p i a m
łaskawą	1.0	w a s k a v oc5
całkowite	1.0	c a w k o v i t e
podglądać	1.0	p o d g l oc5 d a tsj
prostą	1.0	p r o s t oc5
misiuro	1.0	m i sj i u r o
gęstnieje	1.0	g eo5 s t n i e j e
rozpacz	1.0	r o z p a tS
polityki	1.0	p o l j t i2 k i
skupienia	1.0	s k u p i e n i a
tworzenia	1.0	t f o Z e n i a
dawid	1.0	d a v i d
odczuwa	1.0	o d tS u v a
otulił	1.0	o t u l j w
wziąć	1.0	v zj oc5 tsj
rzeczywiście	1.0	Z e tS i2 v i sj tsj e
fasady	1.0	f a s a d i2
minutach	1.0	m i n u t a h
obronić	1.0	o b r o n i tsj
chodził	1.0	h o dzj i w
międzyludzkie	1.0	m i eo5 dz i2 l u dz k i e
niemiara	1.0	n i e m i a r a
